Well_Id	Cluster	Induction	Conc_uM	Rel_Cell_Count	Trivial_Name	Smiles	Chiral
392483:01:10_00.20	AKT_PI3K_MTOR	47.0	0.2	100	Rapamycin (Sirolimus)	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	False
392483:01:10_02.00	AKT_PI3K_MTOR	32.3	2.0	98	Rapamycin (Sirolimus)	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	False
392513:01:09_02.00	AKT_PI3K_MTOR	40.2	2.0	96	Everolimus (RAD001)	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	True
392535:01:10_02.00	AKT_PI3K_MTOR	39.6	2.0	96	KU-0063794	COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@H](C)O[C@H](C)C4)nc3n2)cc1CO	False
392538:01:10_02.00	AKT_PI3K_MTOR	40.9	2.0	90	WYE-354	COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1	False
392563:01:10_02.00	AKT_PI3K_MTOR	49.2	2.0	90	AZD8055	COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO	False
392604:01:09_02.00	AKT_PI3K_MTOR	41.6	2.0	96	OSI-027	COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12	False
392616:01:09_00.20	AKT_PI3K_MTOR	51.5	0.2	90	WYE-132	CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1	False
392630:01:09_02.00	AKT_PI3K_MTOR	44.0	2.0	90	GDC-0980 (RG7422)	Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12	False
392634:01:09_00.20	AKT_PI3K_MTOR	51.5	0.2	81	Sapanisertib	CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21	False
392638:01:09_02.00	AKT_PI3K_MTOR	51.5	2.0	88	PF-04691502	COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1	False
