Well_Id	Comp_1	Comp_2	Cluster	Trivial_Name	Known_Act	Chiral	Smiles
392483:01:10_00.20	-4.9112496	-5.156338	AKT/PI3K/MTOR	Rapamycin (Sirolimus)	Rapamycin (Sirolimus, AY-22989, WY-090217) is a specific mTOR inhibitor with IC50 of ~0.1 nM.	False	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
392897:01:10_03.00	-4.703066	-5.3868513	AKT/PI3K/MTOR	BAY 80-6946, Copanlisib	BAY 80-6946 (Copanlisib) is a potent and highly selective reversible PI3K inhibitor for PI3Ka/ß with IC50 of 0.469 nM/3.72 nM. BAY 80-6946 is a phosphoinositide 3-kinase (PI3K) inhibitor with potential antineoplastic activity. BAY 86-9766 inhibits proliferation with IC50 of 147 nM in HuCCT-1 (KRASG12D ) and 137 nM in EGI-1 (KRASG12D ) cell lines. BAY 80-6946 is generally well tolerated through the MTD (maximum tolerated dose) of 0.8 mg/kg. PK (pharmacokinetics) results support weekly dosing. Grade 2/3 hyperglycemia in the first 24 hrs after receiving a dose is common at the MTD. PK, clinical SD and FDG-PET data are consistent with effective exposure and PI3K pathway inhibition.	False	COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21
392897:01:09_10.00	-4.853048	-5.305953	AKT/PI3K/MTOR	BAY 80-6946, Copanlisib	BAY 80-6946 (Copanlisib) is a potent and highly selective reversible PI3K inhibitor for PI3Ka/ß with IC50 of 0.469 nM/3.72 nM. BAY 80-6946 is a phosphoinositide 3-kinase (PI3K) inhibitor with potential antineoplastic activity. BAY 86-9766 inhibits proliferation with IC50 of 147 nM in HuCCT-1 (KRASG12D ) and 137 nM in EGI-1 (KRASG12D ) cell lines. BAY 80-6946 is generally well tolerated through the MTD (maximum tolerated dose) of 0.8 mg/kg. PK (pharmacokinetics) results support weekly dosing. Grade 2/3 hyperglycemia in the first 24 hrs after receiving a dose is common at the MTD. PK, clinical SD and FDG-PET data are consistent with effective exposure and PI3K pathway inhibition.	False	COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21
392893:01:08_10.00	-5.1503224	-5.1963944	AKT/PI3K/MTOR	Ipatasertib	Ipatasertib (GDC-0068) is a highly selective and ATP-competitive pan-Akt inhibitor with IC50s of 5, 18 and 8 nM for Akt1, Akt2 and Akt3, respectively.	True	CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1
392761:01:09_02.00	-5.1077056	-5.239087	AKT/PI3K/MTOR	Zotarolimus(ABT-578)	Zotarolimus (ABT-578) is an analogue of rapamycin, and inhibits FKBP-12 binding with IC50 of 2.8 nM.	False	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3cnnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
392761:01:09_00.20	-5.027757	-5.279071	AKT/PI3K/MTOR	Zotarolimus(ABT-578)	Zotarolimus (ABT-578) is an analogue of rapamycin, and inhibits FKBP-12 binding with IC50 of 2.8 nM.	False	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3cnnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
392708:01:09_02.00	-4.71071	-5.031147	AKT/PI3K/MTOR	GDC-0349	GDC-0349 is a potent and selective ATP-competitive inhibitor of mTOR with Ki of 3.8 nM, 790-fold inhibitory effect against PI3K¿ and other 266 kinases. Phase 1.	False	CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(C2COC2)C3)cc1
392638:01:09_02.00	-4.5666656	-5.0250807	AKT/PI3K/MTOR	PF-04691502	PF-04691502 is an ATP-competitive PI3K(¿/ß/¿/¿)/mTOR dual inhibitor with Ki of 1.8 nM/2.1 nM/1.6 nM/1.9 nM and 16 nM, little activity against either Vps34, AKT, PDK1, p70S6K, MEK, ERK, p38, or JNK. Phase 2.	False	COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1
392634:01:09_00.20	-4.4582353	-4.953438	AKT/PI3K/MTOR	Sapanisertib	Sapanisertib (INK-128; MLN0128; TAK-228) is an orally available, ATP-dependent mTOR1/2 inhibitor with an IC50 of 1 nM for mTOR kinase.	False	CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21
392764:01:09_02.00	-5.0879607	-5.1693997	AKT/PI3K/MTOR	Temsirolimus (CCI-779, NSC 683864)	Temsirolimus (CCI-779) is a specific mTOR inhibitor with IC50 of 1.76 ¿M.	False	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
