Compound_Id	Well_Id	Is_Ref	Conc_uM	Rel_Cell_Count	Induction	Cluster_AKT_PI3K_MTOR	Cluster_Aurora	Cluster_BET	Cluster_DNA_Synth	Cluster_HDAC	Cluster_HSP90	Cluster_LCH	Cluster_Na_K-ATPase	Cluster_Protein_Synth	Cluster_Pyrimidine_Synth	Cluster_Tubulin	Cluster_Uncoupler	Cluster_High	Cluster_Sim	Trivial_Name	Known_Act	Chiral	Smiles
247214	247214:04:02_10.00	True	10.0	91	43.4	0.0	0.0	79.6	0.0	74.6	13.9	93.0	28.1	53.5	0.0	72.6	56.3	LCH	93.0	Chlorpromazine hydrochloride	non selective compound: intended target=DRD2, number of targets=174. Dopamine receptor antagonist, anti-emetic, antipsychotic, Dopamine antagonist. Chlorpromazine hydrochloride is used as a substitute for benzidine, o-dianisidine and o-tolidine in the determination of microquantities of hemoglobin and peroxidase.; Wang et al., Evidence-based and quantitative prioritization of tool compounds in phenotypic drug discovery Cell Chem. Biol. 23, 862-874 (2016).	False	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
282109	282109:02:03_10.00	True	10.0	98	17.1	0.0	0.0	76.8	0.0	74.4	9.0	87.8	39.9	49.2	0.0	72.5	50.9	LCH	87.8	Dibucaine hydrochloride, Cinchocaine ;hydrochloride	potent, long-acting local anesthetic.	False	CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
406837	406837:01:06_10.00	True	10.0	90	6.2	0.0	20.7	0.0	44.5	0.0	0.0	0.0	0.0	0.0	42.7	0.0	0.0	DNA_Synth	44.5	Molidustat, BAY 85-3934	it is a potent hypoxia-inducible factor prolyl hydroxylase (HIF-PH) inhibitor with IC50 of 480 nM, 280 nM, and 450 nM for PHD1, PHD2, and PHD, respectively. In vitro, Molidustat induces the transcription of hypoxia-sensitive genes in HeLa, A549, and Hep3B cells.	False	O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1
392894	392894:01:08_10.00	True	10.0	51	22.6	12.8	75.8	0.0	54.5	0.0	31.4	0.0	0.0	0.0	48.2	0.0	0.0	Aurora	75.8	BX-795 hydrochloride	BX-795 was initially characterized as a potent inhbitor of 3-phosphoinositide-dependent kinase-1. Additional studies with BX-795 have shown that the molecule is also a potent dual inhibitor of IKKe and TBK1 which are known to regulate the expression of interferons via the phosphorylation of interferon regulatory factor 3 (IRF3).	False	O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1
393275	393275:01:04_09.50	True	9.5	103	5.2	6.1	0.0	0.0	0.0	0.0	0.0	0.0	27.6	0.0	10.9	0.0	0.0	Na_K-ATPase	27.6	Darglitazone	it is a highly potent and selective PPAR-? (peroxisome proliferator-activated receptor-?) agonist. It is a thiazolidinedione approximately 200x more potent than ciglitazone and restores euglycemia and reduced circulating TG and VLDL in the ob/ob mice. It also offers a significant neuroprotection and promotes recovery after a hypoxic-ischemic insult in the diabetic ob/ob mouse.	False	Cc1oc(-c2ccccc2)nc1CCC(=O)c1ccc(CC2SC(=O)NC2=O)cc1
392453	392453:01:07_01.00	True	1.0	91	79.3	0.0	0.0	77.1	0.0	71.7	0.0	86.0	32.8	47.7	0.0	71.5	53.1	LCH	86.0	Bafilomycin A1, Baf-A1	macrolide antibiotic, specific vacuolar-type H-ATPase inhibitor, prevents lysosomal Ca2+ uptake, inhibits endosomal, lysosomal and vacuolar acidification, autophagic degradation by rising pH and thus inactivating the lysosomal acid hydrolases.	True	CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@H](C)C/C(C)=C/C=C\[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)C(C)[C@@]2(O)C[C@@H](O)[C@H](C)[C@@H](C(C)C)O2)OC1=O
393773	393773:01:07_10.00	True	10.0	102	6.4	54.2	0.0	22.5	0.0	21.6	5.9	33.4	14.4	4.6	0.0	2.8	44.5	AKT_PI3K_MTOR	54.2	Pilaralisib	Pilaralisib (XL147; SAR245408) is a potent and highly selective class I PI3Ks inhibitor with IC50s of 39 nM, 383 nM, 23 nM and 36 nM for PI3K.a., PI3K.b., PI3K.g., and PI3K.d..	False	COc1ccc(Cl)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)C(C)(C)N)c2)c1
408411	408411:01:03_10.00	True	10.0	98	24.7	0.0	0.0	47.6	0.0	49.7	49.5	61.6	14.7	50.6	0.0	58.7	37.5	LCH	61.6		BI-2545 inhibits human ATX with an IC50 of 2.2 nM. In human whole blood BI-2545 inhibits Autotaxin with an IC50 of 29 nM and in rat whole blood with an IC50 of 96 nM.	True	O=C(NC[C@H]1[C@@H]2CN(C(=O)OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C[C@H]12)c1ccc2nn[nH]c2c1
407896	407896:01:03_10.00	True	10.0	96	19.9	2.1	0.0	18.4	2.9	14.6	26.2	37.0	4.0	4.3	0.0	36.6	3.1	LCH	37.0	BPTES	it  is a selective inhibitor of Glutaminase GLS1 (KGA), which is found in the kidney and brain, and is positively regulated by myc and strongly expressed in many tumors and tumor cell lines. Glutaminase converts glutamine to glutamate, which is an important excitatory neurotransmitter in brain and can be further oxidized to a-ketoglutarate to feed the tricarboxylic acid (TCA) cycle and to glutathione, which is important for controlling the level of reactive oxygen species (ROS), particularly important for cancer cell growth. BPTES was found to slow growth of glioma cells. BPTES is a noncompetitive inhibitor with a Ki of 3 µM.	False	O=C(Cc1ccccc1)Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1
407974	407974:01:03_10.00	True	10.0	100	18.5	0.0	0.0	49.6	0.0	51.2	43.5	56.2	18.8	34.6	0.0	57.6	30.3	Tubulin	57.6	GSK8814	it is a chemical probe for the ATAD2/2B bromodomain, with a binding constant pKd=8.1 as measured by ITC (Bamborough et al, 2016). GSK8814 displaces acetylated H4 peptide from the ATAD2 bromodomain with pIC50 =7.3 and is also active in BROMOscan with pKi=8.9. It is more than 100 fold selective over all other bromodomains in the BROMOscan. Importantly, it is more than 1000 fold selective over BRD4. GSK8814 shows cellular target engagement with an EC50 of 2 µM in a NanoBRET assay evaluating the interaction of the NanoLuc-ATAD2 bromodomain with histone H3.3-HaloTag.	True	CO[C@H]1CNC[C@@H](OCC2CCC(F)(F)CC2)[C@@H]1Nc1ncc(-c2cncc(C)c2)c2cc(C)c(=O)[nH]c12
394277	394277:01:05_10.00	True	10.0	81	78.6	0.0	0.0	72.3	0.0	68.4	23.6	87.7	22.8	53.7	0.0	73.9	56.6	LCH	87.7	Golvatinib (E7050)	Golvatinib is an inhibitor of c-Met and VEGFR-2 tyrosine kinase with IC50 values of 14nM and 16nM, respectively. The small molecule compound, golvatinib, is a dual inhibitor of both c-Met and VEGFR-2. It is developed as a therapeutic reagent with more potent antitumor activity. Golvatinib inhibits the autophosphorylation of c-Met in MKN45 cells and inhibits the phosphorylation of VEGFR-2 in HUVECs with IC50 values of 14nM and 16nM, respectively. Golvatinib also inhibits the growth of various tumor cells including MKN45, EBC-1, Hs746T and SNU-5. Besides that, golvatinib effectively suppresses the growth induced by HGF or VEGF with IC50 values of 17nM and 84nM.	False	CN1CCN(C2CCN(C(=O)Nc3ccc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)cn3)CC2)CC1
